epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,39.4532,1.21883,1.01679,1.34618,0.8863,0.94936,0.98353,0.63831,1.30938,0.81294,1.44999,0.00181698,0.00181698,0.00181698
61,40.0614,1.22829,1.02031,1.32107,0.8924,0.92508,0.9816,0.60686,1.41972,0.87146,1.53301,0.00181093,0.00181093,0.00181093
62,40.6792,1.23394,0.97495,1.30269,0.88466,0.94872,0.976,0.5914,1.44651,0.88897,1.53969,0.00180479,0.00180479,0.00180479
63,41.244,1.21275,1.01557,1.3194,0.88466,0.94872,0.976,0.5914,1.44651,0.88897,1.53969,0.00179856,0.00179856,0.00179856
64,41.8127,1.14957,0.96357,1.33262,0.85474,0.94872,0.9575,0.64304,1.3381,0.86386,1.4533,0.00179225,0.00179225,0.00179225
65,42.439,1.24307,1.0162,1.32211,0.89733,0.94872,0.98558,0.66426,1.27575,0.81995,1.40224,0.00178586,0.00178586,0.00178586
66,43.068,1.0965,0.89246,1.26635,0.88129,0.96787,0.99128,0.68489,1.21807,0.80228,1.37002,0.00177937,0.00177937,0.00177937
67,43.7643,1.15359,0.91613,1.27639,0.88129,0.96787,0.99128,0.68489,1.21807,0.80228,1.37002,0.00177281,0.00177281,0.00177281
68,44.36,1.19316,1.01415,1.35868,0.87556,0.97302,0.99128,0.71485,1.15628,0.77594,1.33981,0.00176616,0.00176616,0.00176616
69,44.9798,1.21566,0.90977,1.31169,0.91087,0.94112,0.98984,0.70668,1.13958,0.7835,1.30554,0.00175943,0.00175943,0.00175943
70,45.5704,1.15815,0.96101,1.29213,0.91606,0.94429,0.9698,0.67044,1.14773,0.80073,1.2898,0.00175261,0.00175261,0.00175261
71,46.2158,1.07805,0.86562,1.23405,0.91606,0.94429,0.9698,0.67044,1.14773,0.80073,1.2898,0.00174571,0.00174571,0.00174571
72,46.8082,1.14701,0.91829,1.29282,0.92394,0.94872,0.9357,0.63096,1.22468,0.81111,1.34113,0.00173874,0.00173874,0.00173874
73,47.443,1.07604,0.8977,1.2738,0.91851,0.97436,0.92556,0.61443,1.24943,0.81434,1.36901,0.00173168,0.00173168,0.00173168
74,48.0596,1.124,0.92545,1.28608,0.85894,1,0.93952,0.61235,1.28363,0.81308,1.41084,0.00172454,0.00172454,0.00172454
75,48.651,1.12871,0.84989,1.29524,0.85894,1,0.93952,0.61235,1.28363,0.81308,1.41084,0.00171733,0.00171733,0.00171733
